Word	Count	Emotions
ward	15	
overboard	15	
succession	15	
period	15	
doom	15	fear, negative
dies	15	
drift	15	
flying	15	fear, positive
serpent	15	disgust, fear, negative
reckoning	15	
creep	15	negative
stars	15	
spell	15	
slippery	15	
mortal	15	negative
smile	15	joy, positive, surprise, trust
gloss	15	positive
longfellow	15	
familiar	15	positive, trust
experience	15	
scene	15	
float	15	
reap	15	
hazard	15	fear, negative
skill	15	
pressure	15	negative
puff	15	
swing	15	
acquire	15	positive
harsh	15	
damp	15	
expose	15	anticipation, fear
soil	15	disgust, negative
harbor	15	trust
mill	15	anticipation
sugar	15	positive
secretary	15	
knee	15	
scratch	15	
sleeve	15	
mask	15	
crooked	15	
motive	15	positive
repair	15	
punishment	15	anger, disgust, fear, negative
merry	15	joy, positive
liquid	15	
kill	15	fear, negative, sadness
minded	15	
burning	15	
fever	15	fear
blaze	15	anger, negative
sounds	15	
brown	15	
seek	15	anticipation
tax	15	negative, sadness
worthy	15	positive, trust
read	15	
hopes	15	
reins	15	
nurse	15	positive, trust
enemy	15	anger, disgust, fear, negative
title	15	positive, trust
quarrel	15	anger, negative
feelings	15	
pity	15	sadness
foreign	14	negative
does	14	
please	14	
oblivion	14	anger, fear, negative
personal	14	trust
nobody	14	
none	14	
character	14	
type	14	
contingent	14	anticipation
frame	14	
tenor	14	
link	14	
hoc	14	
alter	14	
harmony	14	joy, positive, trust
smack	14	anger, negative
sic	14	
monkey	14	
brit	14	
reflection	14	
concert	14	
discord	14	anger, disgust, negative
contempt	14	anger, disgust, fear, negative
determine	14	
station	14	
comes	14	
medium	14	
redeem	14	
fiddle	14	
clap	14	anticipation, joy, positive, trust
single	14	
unite	14	
string	14	
sand	14	
relax	14	
branch	14	
beginning	14	
interval	14	
embrace	14	anticipation, joy, positive, surprise, trust
abroad	14	
row	14	anger, negative
source	14	
evolution	14	positive
res	14	
gathering	14	
muster	14	
shock	14	anger, fear, negative, surprise
draught	14	
club	14	
private	14	
they	14	
poll	14	trust
machine	14	trust
slap	14	anger, negative, surprise
lamb	14	joy, positive, trust
busy	14	
boiling	14	
facts	14	positive, trust
hanging	14	anger, disgust, fear, negative, sadness
energy	14	
prostration	14	
snake	14	disgust, fear, negative
blunt	14	
rotten	14	
snuff	14	
flowing	14	
acute	14	
roar	14	
rude	14	
blanket	14	trust
waters	14	
political	14	
cave	14	
stomach	14	disgust
floor	14	
thumb	14	
worm	14	anticipation, negative, surprise
gay	14	
film	14	
surface	14	
around	14	
varnish	14	
beauty	14	joy, positive
pill	14	positive, trust
sponge	14	negative
valve	14	
bon	14	
fetch	14	
wagon	14	
telescope	14	
bee	14	anger, fear
attract	14	
suck	14	negative
amusement	14	joy, positive
provision	14	
queen	14	
artificial	14	
fret	14	fear, negative
hunt	14	
mute	14	
examination	14	fear, negative, surprise
odor	14	negative
trumpet	14	negative
prayer	14	
thy	14	
wisdom	14	positive, trust
review	14	
providence	14	
satisfy	14	
recognition	14	
letters	14	
revenge	14	anger, anticipation, fear, negative, surprise
wound	14	anger, fear, negative, sadness
advice	14	trust
lecture	14	
engraving	14	
prose	14	
minister	14	
acquit	14	
difficulties	14	negative, sadness
offering	14	trust
rifle	14	anger, fear, negative
grief	14	negative, sadness
sorrow	14	fear, negative, sadness
christian	14	
liberty	14	anticipation, joy, positive, surprise, trust
sale	14	
representation	13	
also	13	
prior	13	
useful	13	
these	13	
pound	13	anger, negative
search	13	
begin	13	
afloat	13	
blank	13	
element	13	
tempest	13	anger, anticipation, fear, negative, sadness, surprise
pickle	13	negative
happen	13	anticipation
bearing	13	
parallel	13	
compensation	13	
concord	13	positive, trust
delicate	13	
pair	13	
shoes	13	
ab	13	
ways	13	
semblance	13	
mate	13	positive, trust
span	13	
mock	13	
picture	13	
fruit	13	
imitation	13	negative
repeat	13	
creation	13	
precedent	13	
extent	13	
degrees	13	
bias	13	anger, negative
superiority	13	positive
chief	13	
expand	13	
sad	13	
slight	13	
halfway	13	negative
moderate	13	positive
excess	13	negative
retire	13	
minor	13	
imperfect	13	
exaggeration	13	
reduction	13	
decay	13	fear, negative, sadness
discount	13	
introduce	13	
count	13	positive, trust
combination	13	
rid	13	
marriage	13	anticipation, joy, positive, trust
sex	13	anticipation, joy, positive, trust
secure	13	
gear	13	positive
cling	13	
chapter	13	
perfection	13	anticipation, joy, positive, surprise, trust
heel	13	negative
method	13	
arrange	13	
agitation	13	anger, negative
crush	13	
pack	13	
